client_id,days_since_last_late_payment
22344,1357
11233,1550
68864,1304
37876,1423
12502,1632
31297,1474
31789,1490
83471,1223
29089,1454
13520,1599
9038,1627
1750,1663
4321,1687
60289,1253
32999,1253
6373,1425
60035,1222
292,1562
17573,1515
86727,1238
69195,1275
30388,1407
1552,1555
83646,1228
27996,1363
31209,1395
18474,1488
10792,1520
23234,1249
55680,1278
4116,1688
79600,1264
48150,1365
10073,1623
54492,1321
52364,1287
42647,1224
59789,1246
61789,1291
38644,1421
42411,1386
4289,1633
67528,1289
8873,1366
60493,1300
84987,1227
57082,1265
12629,1486
56808,1305
71295,1243
45926,1367
14913,1518
52189,1353
37196,1331
4452,1608
32895,1238
89422,1233
36086,1369
3834,1635
49482,1251
30399,1485
43295,1379
17697,1519
42392,1305
31211,1498
28840,1430
46178,1249
1287,1579
6258,1652
21274,1481
307,1718
3199,1645
34607,1455
57465,1279
15851,1598
27612,1483
17890,1577
19324,1545
68927,1301
66841,1287
49586,1283
19608,1454
31019,1307
46937,1275
17968,1558
19597,1551
43622,1279
40090,1392
14655,1305
22376,1537
52877,1337
55826,1310
2773,1584
2544,1575
39115,1425
54867,1245
20967,1563
12525,1567
41382,1365
28659,1449
20244,1348
58793,1280
22840,1479
23087,1530
81612,1263
65563,1294
7418,1638
43417,1275
42400,1368
35745,1439
79307,1255
3442,1515
63198,1290
68922,1285
71030,1282
18379,1515
60148,1303
82146,1237
35528,1420
86839,1226
47301,1352
80034,1265
63006,1285
41734,1403
69621,1305
18751,1575
24348,1542
11157,1279
68587,1245
82336,1240
81522,1260
65612,1251
83140,1242
71753,1303
66283,1292
17952,1507
37825,1417
73079,1250
74480,1233
45788,1377
19870,1470
667,1725
33367,1477
22759,1515
82817,1222
16267,1582
51416,1355
43537,1386
48719,1292
31589,1507
46889,1318
41935,1419
69986,1231
43885,1382
74897,1277
80943,1282
11026,1624
31483,1508
4199,1691
59091,1322
57264,1336
43659,1344
17564,1563
23710,1538
4893,1645
38505,1372
35993,1451
86329,1249
42586,1384
25471,1486
48350,1358
50429,1280
49812,1358
22951,1476
63545,1292
7691,1308
68121,1283
25009,1524
70026,1275
58669,1248
60423,1277
25613,1521
65915,1245
79211,1270
55205,1262
3035,1630
35060,1464
27871,1445
67967,1241
61833,1316
16708,1587
7184,1640
57294,1312
36337,1436
25587,1482
53562,1278
6091,1607
52874,1314
12836,1605
37842,1246
43928,1305
5628,1602
78614,1261
13445,1335
7711,1557
68253,1298
27821,1434
19246,1511
3890,1689
6329,1640
72514,1272
22503,1518
87233,1240
86367,1230
54926,1343
21625,1491
60334,1293
53533,1320
27153,1253
15137,1576
36237,1381
22932,1365
35964,1377
63136,1241
19224,1559
32863,1486
10064,1577
1101,1732
54956,1336
32578,1405
71426,1245
70602,1240
50380,1363
38953,1404
74715,1276
40101,1411
62047,1299
74726,1271
35693,1426
54562,1316
50822,1359
34011,1472
61836,1294
1238,1644
27727,1448
17631,1541
38966,1312
44541,1270
59142,1331
24093,1459
17331,1545
73543,1239
29788,1433
13443,1584
13983,1305
83434,1234
72159,1254
70120,1245
58002,1318
53095,1332
64659,1262
42689,1393
52802,1287
29496,1494
16494,1588
60134,1273
30766,1515
53304,1226
24615,1462
12290,1250
54928,1278
63255,1282
79048,1275
47770,1358
14291,1431
57504,1327
24042,1475
32016,1433
68353,1298
57579,1311
33243,1402
43393,1384
23828,1539
22524,1528
4725,1674
56110,1311
55766,1310
21831,1328
33537,1482
86360,1235
55243,1311
2126,1628
33065,1456
20906,1558
42149,1433
1579,1653
79784,1274
13071,1621
62341,1311
45565,1373
77157,1245
17937,1499
6575,1621
28380,1494
49148,1359
2089,1681
22437,1527
32153,1485
6188,1587
78179,1246
188,1661
79344,1256
