client_id,paid_loans_count
45860,4
26263,2
36897,2
60810,1
89403,1
53347,1
1014,1
79163,2
86036,1
73130,1
536,1
7004,3
47778,1
34354,1
53885,3
4035,3
4827,1
35599,1
95503,1
74710,1
67482,2
46401,3
71653,1
10896,2
103729,1
106621,1
106119,1
69906,2
79030,1
44127,2
11233,1
84925,1
86580,1
47051,2
98561,1
29007,1
76791,1
69233,1
55864,1
103443,1
40694,1
47114,1
48663,1
37878,1
84198,1
23000,1
26770,3
86008,1
35532,1
5697,3
1750,1
76021,1
176,1
32999,1
6373,3
83067,1
60035,1
39593,1
292,1
42583,2
47641,1
17573,1
42166,1
41114,1
1552,1
78587,1
31209,1
83629,1
10792,1
55680,1
1373,6
99917,1
85121,1
32429,2
1268,1
92846,1
49406,4
36986,1
70000,1
27596,1
15805,2
74383,2
37974,1
59073,3
76850,1
161,1
61838,1
26100,1
33873,3
23986,2
43679,3
25110,2
53735,1
69644,1
104693,1
104550,1
59789,1
25574,1
1595,1
106115,1
46402,4
36914,4
8873,2
69716,2
57082,1
12629,2
80246,1
103013,1
85517,1
36704,1
106137,1
22029,2
61485,1
32628,3
19073,2
53826,1
37526,1
41806,1
30399,1
6861,1
17697,1
14764,2
46178,2
30263,1
30255,1
105179,1
92077,1
83376,1
14205,3
66629,1
98458,1
54566,2
104283,1
43047,1
9362,1
7064,4
81172,1
69825,2
45859,2
31019,2
112355,1
28729,1
105720,1
60663,1
20961,1
2773,1
59260,1
58178,1
44141,2
68155,2
68243,1
74226,1
63743,1
84839,1
74956,1
12870,1
87295,1
54955,2
30210,1
4754,4
85454,1
78537,3
95056,1
66800,2
20244,1
58793,1
8548,1
52799,2
14747,1
31429,1
96653,1
54242,2
47571,2
23735,1
38334,1
80695,1
2952,2
26368,1
83103,1
13184,1
73161,1
19381,3
23826,2
47790,2
18379,1
103735,1
76254,1
77932,1
72138,1
88721,1
53593,1
58383,3
62746,1
50218,1
107843,1
88717,1
77248,3
68587,1
32907,3
13831,3
89417,1
34530,1
12464,1
12045,6
76187,2
63811,1
88049,1
66649,1
1613,1
73176,2
27214,1
76214,2
58616,1
68764,4
39482,1
48071,1
46889,1
13030,3
99356,1
2073,2
11359,1
83031,1
89892,1
92198,2
98148,1
41028,2
39989,1
28369,1
74709,1
67790,1
63087,1
55835,1
56057,1
78420,1
93367,1
30256,1
89057,1
65771,1
70559,1
90098,1
63045,1
35710,2
50429,1
14872,1
44969,1
7691,2
57074,1
45440,1
80400,1
41696,1
108929,1
64729,1
70895,1
84756,1
33395,2
18487,1
42226,1
26961,3
106607,1
45234,1
103378,1
83479,1
71203,1
69771,2
60411,1
44172,1
66755,1
41979,1
20020,1
87439,1
28218,2
18007,1
77618,1
101103,1
38313,1
33122,1
25587,1
23636,1
65413,2
84856,1
6091,1
87492,1
70864,3
46427,1
65278,3
95842,1
26725,1
32246,2
71079,2
13445,3
9413,1
105934,1
48907,3
65389,2
25546,3
7520,4
57031,1
44613,1
10042,1
43424,1
7541,4
63881,2
80540,1
35169,2
84307,1
58462,3
77107,1
50203,1
64699,1
48123,2
32107,2
524,1
27153,2
71638,1
16277,1
17265,1
95528,1
22932,2
92657,2
92672,1
37326,3
60804,1
36583,1
70088,1
105338,1
34784,1
39265,1
28555,4
18894,1
32578,2
93491,1
80786,1
99,1
75537,1
3688,5
9626,1
58001,1
32522,3
51806,2
79168,1
21917,1
49363,1
77287,1
49790,3
73539,2
38966,2
28057,6
74045,1
24093,1
2486,1
103943,1
68556,3
8400,1
55849,1
61221,2
33251,1
73515,1
98597,1
77852,1
64659,1
100092,1
384,2
63115,1
104957,1
57966,1
41603,1
82953,2
28051,1
9334,2
84427,1
45755,1
9940,2
63255,1
58914,1
106566,1
35766,1
14291,1
45903,1
80010,2
32228,1
12389,1
18242,1
49393,1
44710,4
104948,1
21831,2
21571,1
41422,1
6228,3
71693,2
38284,1
21512,2
22390,1
96142,1
68273,2
30667,1
33906,2
6575,1
95215,1
74917,1
40350,1
37888,1
22957,4
21903,1
10784,1
70030,1
50369,2
66835,1
66798,2
93148,1
83848,1
53429,2
2155,1
24162,1
703,1
87748,1
76778,1
46841,1
35640,2
100371,1
48351,1
32418,4
7545,3
38111,2
35473,1
76057,1
30747,1
105970,1
14328,1
85250,1
22321,1
79490,2
12424,3
104777,1
14653,1
6070,1
94004,1
25344,1
22396,2
66840,1
41046,1
43009,1
94254,1
80355,1
807,2
37844,1
6616,2
88581,1
56851,3
85904,1
93542,1
14724,2
56084,1
42657,1
52266,1
80917,1
2865,1
83760,1
53726,1
444,1
58653,2
13417,1
105233,1
88684,1
63052,1
54700,1
6233,1
90227,2
7798,8
91713,1
13850,1
13690,2
102653,1
91339,1
9142,3
10166,1
6726,1
88625,2
58841,1
56880,1
86365,1
63690,2
22042,2
6249,1
10763,3
100225,1
26330,1
85368,2
13293,5
49053,2
91837,1
37556,2
9083,1
85134,1
83712,1
95965,1
91069,1
111513,1
85154,2
13846,1
36041,2
27835,1
91566,1
39909,3
16871,1
